Name_EN,Address_EN,Latitude,Longitude,Facility_Type
Kiangsu Chekiang and Shanghai Medical Centre,"Room 1-7, 1/F, Max Share Centre, 367-373 King's Road, North Point, Hong Kong",22.29110375,114.1979186,ClinicsregisteredunderCap343
Kwun Tong Tsui Ping Road Estate Kaifong Welfare Association Registered Doctor Clinic,"L9, G/F, Tsui Nam House, Tsui Ping (North) Estate, Kwun Tong, Kowloon",22.31682142,114.228824,ClinicsregisteredunderCap343
Lok Sin Tong Chan Kwong Hing Memorial Primary Health Centre,"Western Clinic, G/F, 48 Junction Road, Kowloon City, Kowloon",22.329537,114.1871628,ClinicsregisteredunderCap343
Lok Sin Tong Mr. & Mrs. Lee Yin Yee Medical Centre,"Western Clinic, Flat B, 1211-1215, Pioneer Centre, No. 750 Nathan Road, Prince Edward, Kowloon",22.32271842,114.1690801,ClinicsregisteredunderCap343
Lung Hing Tong Clinic,"Medical Clinic, G/F, 94 Ki Lung Street, Sham Shui Po, Kowloon",22.32676248,114.1651652,ClinicsregisteredunderCap343
PCHK Medical Services Eye Clinic,"Eye Clinic, 2/F, Tsz Wan Shan (South) Estate Community Centre, 45 Wan Wah Street, Wong Tai Sin, Kowloon",22.34653358,114.1994507,ClinicsregisteredunderCap343
Pentecostal Holiness Church Fung Tak Medical Centre,"Medical Clinic, Room 247-254, Ngan Fung House, Fung Tak Estate, Diamond Hill, Kowloon",22.34398611,114.2007016,ClinicsregisteredunderCap343
Po Leung Kuk Cheerful Court Integrated Health Centre,"Consultation Room 1 & 2, dispensary and waiting area of 1/F, Cheerful Court, 55 Choi Ha Road, Ngau Tau Kok, Kowloon",22.32568757,114.216272,ClinicsregisteredunderCap343
Po Leung Kuk Making Life Beautiful Integrated Health Centre,"Room 3, clinic assistants’ working area and clients’ waiting area of Room 1007-1008, 10/F, Hang Seng North Point Building, 341 King’s Road, North Point, Hong Kong",22.29087676,114.1970431,ClinicsregisteredunderCap343
SARDA Wanchai Clinic,"15/F, Southorn Centre, 130 Hennessy Road, Wan Chai, Hong Kong",22.27808819,114.1695918,ClinicsregisteredunderCap343
Sham Shui Po District Council Po Leung Kuk Shek Kip Mei Community Services Centre (Medical Services),"Room 1, 6, 8 and waiting area of Shop No. 101, Mei Kwai House, Shek Kip Mei Estate, 13 Pak Tin Street, Shamshuipo, Kowloon",22.33367233,114.1639303,ClinicsregisteredunderCap343
Sik Sik Yuen Clinic,"General Clinic, C, G/F, Sik Sik Yuen Social Services Complex, 38 Fung Tak Road, Wong Tai Sin, Kowloon",22.34321238,114.1973583,ClinicsregisteredunderCap343
The Family Planning Association of Hong Kong – Kwai Fong Youth Health Care Centre,"Unit 702-705, Level 7, Metroplaza Tower 2, 223 Hing Fong Road, Kwai Fong, New Territories",22.35763051,114.1263679,ClinicsregisteredunderCap343
