Name_EN,Address_EN,Latitude,Longitude,Facility_Type
SHUI JUN NURSING CENTRE (YAU TONG) COMPANY LIMITED,"SHOP 67, G/F AND SHOP B, 1/F, KA FAT ARCADE AND SHOPS 101-105, 127-142 AND 158-165, 1/F, KA KWAI ARCADE, YAU TONG CENTRE, KOWLOON",22.29472556,114.23832174,LocationofResidentialCareHomesfortheElderlyinHongKong
TAK BO NURSING CENTER LIMITED,"UNITS 1-17, 2/F, PODIUM, TAK BO GARDEN, 3 NGAU TAU KOK ROAD, KOWLOON",22.32720695,114.214225,LocationofResidentialCareHomesfortheElderlyinHongKong
THE HONG KONG SOCIETY FOR THE AGED MRS Y. K. FUNG HOME FOR THE ELDERLY,"2/F, ANCILLARY FACILITIES BLOCK, PING TIN ESTATE, KOWLOON",22.30819993,114.23645453,LocationofResidentialCareHomesfortheElderlyinHongKong
GUARDIAN HOME (CHUN SHEK) INTEGRATED ELDERLY HOME,"SHOP NO. 301, 3/F, CHUN SHEK SHOPPING CENTRE, CHUN SHEK ESTATE, SHATIN, NEW TERRITORIES",22.37330293,114.18689478,LocationofResidentialCareHomesfortheElderlyinHongKong
PINE CARE (LEE FOO) ELDERLY CENTRE,"101-108, 1/F LEE FOO HOUSE, SHUN LEE ESTATE, KWUN TONG, KOWLOON",22.33031904,114.22704841,LocationofResidentialCareHomesfortheElderlyinHongKong
NEW PINE CARE CENTRE,"PORTION OF G/F, 1/F, 2/F, SHUN LEE SHOPPING CENTRE, PHASE 2, SHUN LEE ESTATE & F20-F22 ON 3/F, LEE FOO HOUSE, SHUN LEE ESTATE, KOWLOON",22.32992183,114.22659206,LocationofResidentialCareHomesfortheElderlyinHongKong
GRACIOUS ALLIANCE (LAI KOK),"SHOP 1 ON G/F AND THE WHOLE OF 1/F, LAI MEI HOUSE, LAI KOK SHOPPING CENTRE, 12 TONKIN STREET, CHEUNG SHA WAN, KOWLOON",22.33217685,114.15681029,LocationofResidentialCareHomesfortheElderlyinHongKong
SHUI ON NURSING CENTRE (SHUN ON) COMPANY LIMITED,"FLAT EH1, G/F, SHUN ON SHOPPING CENTRE, SHUN ON ESTATE, KWUN TONG, KOWLOON",22.32846794,114.22647506,LocationofResidentialCareHomesfortheElderlyinHongKong
GOOD BLESS HOME FOR THE AGED LIMITED,"PORTION OF G/F AND 1/F, WING KEE COMMERCIAL BUILDING, 156-162 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON",22.33607838,114.15963451,LocationofResidentialCareHomesfortheElderlyinHongKong
WING KWONG CARE HOME FOR THE ELDERLY LIMITED,"SHOP A1 ON G/F, UNITS A, B, C, D, E & F ON 1/F, WANG KWONG BUILDING, NO. 33 NGAU TAU KOK ROAD, KOWLOON",22.32605981,114.21532152,LocationofResidentialCareHomesfortheElderlyinHongKong
KA SHUI GARDEN NURSING HOME FOR THE ELDERLY (TAK TIN),"4/F-6/F, TAK YAN HOUSE, TAK TIN ESTATE, LAM TIN, KOWLOON",22.30881705,114.23972409,LocationofResidentialCareHomesfortheElderlyinHongKong
