Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
HIU KWONG (TAI KOK TSUI) NURSING CENTRE COMPANY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.32170897,114.16017477,834547.4807000002,820299.8000000007
TSZ HAU HOME OF AGED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31638759,114.21719208,840421.7999999998,819710.0999999996
TELFORD HOME FOR THE ELDERLY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31817599,114.21580465,840278.5,819908.3000000007
CHUNG SHUN HOME OF AGED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.32238404,114.21665997,840366.0,820374.5
HING WAH ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31728873,114.22427759,841151.2000000002,819810.0
THE HKCCCU KWONG YUM CARE HOME (INTEGRATED AGED CARE SERVICE),Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31859894,114.22155067,840870.9000000004,819955.0
CONRAD CARE HOME (KOWLOON BAY) LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31834763,114.21556206,840253.7999999998,819927.0999999996
NEW HONG TAT ELDERLY CARE CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.32595,114.22507,841233.2999999998,820770.0999999996
PLEASANT HOME,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31663149,114.21688157,840389.7999999998,819737.8000000007
LONGEVITY PALACE - RAINBOW VILLA LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.32541,114.21733,840435.9000000004,820710.0999999996
ALTRU NURSING HOME,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31816136,114.23457582,842212.4000000004,819907.8000000007
TOUCH HOME FOR THE ELDERLY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.31462239,114.16825575,835379.4000000004,819514.6999999993
HYGGE LIVING,Location of Residential Care Homes for the Elderly in Hong Kong,KOWLOON CITY,22.30929004,114.18648266,837258.0093999999,818924.5307
Wo Shun Elderly Home,Location of Residential Care Homes for the Elderly in Hong Kong,YUEN LONG,22.4457779,114.03018209,821168.0149999997,834045.9246999994
HIU KWONG NURSING CENTRE COMPANY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31773824,114.23076125,841819.9000000004,819860.0999999996
HONG LING NURSING CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.31784658,114.23083894,841827.0999999996,819872.1999999993
TANG TAT HOME AGED,Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.30734387,114.17169181,835733.7999999998,818708.5
SEE YAN HOME FOR AGED (FIRST BRANCH),Location of Residential Care Homes for the Elderly in Hong Kong,KOWLOON CITY,22.33028106,114.19082292,837704.7000000002,821248.9000000004
"ELCHK, SERENE COURT",Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.31833777,114.15624304,834142.3520999998,819926.5407999996
CYPRESS GARDEN (NGAU TAU KOK) ELDERLY HOME COMPANY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.32238404,114.21665997,840366.0,820374.5
LOK SIN KUI (CARING FOUNDATION) ELDERLY CARE LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.32037458,114.16375179,834915.7999999998,820151.5
KAI YIP HOME FOR AGED LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.32913142,114.2098187,839661.0999999996,821121.8000000007
EVERGREEN (ON TAI) NURSING HOME CUM DAY CARE CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.32556764,114.23111369,841855.5999999996,820727.0999999996
LONGEVITY (COMPREHENSIVE HEALTHCARE) FOR THE SENIORS,Location of Residential Care Homes for the Elderly in Hong Kong,YUEN LONG,22.4327399,113.99583016,817630.2000000002,832606.0
THE SALVATION ARMY HOI TAI RESIDENCE FOR SENIOR CITIZENS [RCHE] / THE SALVATION ARMY MONGKOK COMMUNITY CARE SERVICE VOUCHER SCHEME FOR THE ELDERLY [CCSV RSP],Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.31654317,114.16530479,835075.9710999997,819727.7167000007
SUM YAT ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.32176894,114.16864875,835420.5349000003,820306.3687999994
HIU KWONG (TAK YUE) NURSING CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.31355042,114.16914767,835471.8909999998,819396.2905000001
TREASURE CARE PALACE,Location of Residential Care Homes for the Elderly in Hong Kong,KOWLOON CITY,22.32903792,114.19132986,837757.2388000004,821111.3463000003
ON HONG HOME FOR AGED LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,YUEN LONG,22.42241107,114.03007526,821154.4886999996,831458.3745000008
ETERNAL ELDERLY HOME (2ND HOME),Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.31147982,114.1699738,835556.5999999996,819167.0
LONG KIND HOUSE,Location of Residential Care Homes for the Elderly in Hong Kong,KOWLOON CITY,22.30676572,114.18616213,837224.7999999998,818644.3000000007
KONG SHING HOME FOR THE AGED LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33882319,114.15552798,834068.2000000002,822194.5999999996
PINE CARE (PO TAK) ELDERLY CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,KWAI TSING,22.35965074,114.12801992,831235.0,824501.9000000004
HARMONY HOME FOR THE ELDERLY,Location of Residential Care Homes for the Elderly in Hong Kong,KWAI TSING,22.36753644,114.13532827,831988.0999999996,825374.3000000007
YI YEUNG OLD MAN'S HOME,Location of Residential Care Homes for the Elderly in Hong Kong,YAU TSIM MONG,22.30576346,114.17010995,835570.0,818533.5999999996
THE PERFECT HARMONY HOME FOR THE ELDERLY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TSUEN WAN,22.37107897,114.1150634,829901.5999999996,825767.0
WELCOME GEROCOMY CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,KWAI TSING,22.36874755,114.13951265,832419.7000000002,825508.0999999996
CORNWALL ELDERLY'S HOME (GOLDEN BRANCH),Location of Residential Care Homes for the Elderly in Hong Kong,TUEN MUN,22.40025,113.97823,815813.5999999996,829010.4000000004
OI TAK (SHA TIN) OLD PEOPLE'S HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHA TIN,22.38769586,114.20253976,838910.0,827606.3000000007
ETERNAL ALMSHOUSE,Location of Residential Care Homes for the Elderly in Hong Kong,YUEN LONG,22.4428472,114.02423003,820555.0,833721.1999999993
SAGE KAI YIP HOME FOR THE ELDERLY,Location of Residential Care Homes for the Elderly in Hong Kong,KWUN TONG,22.32971857,114.20901318,839578.7000000002,821186.0
CHUNG CHING HOME FOR THE AGED,Location of Residential Care Homes for the Elderly in Hong Kong,TUEN MUN,22.40794138,113.97962178,815957.7999999998,829861.8000000007
CHEVRON PROFESSIONAL CARE HOME COMPANY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TSUEN WAN,22.37061161,114.12120002,830534.0,825715.8000000007
RAINBOW ELDERLY HOME (SHEUNG SHUI),Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50390307,114.12689065,831124.9000000004,840475.5999999996
TUNG FONG HOME FOR THE AGED,Location of Residential Care Homes for the Elderly in Hong Kong,CENTRAL AND WESTERN,22.28668603,114.13695329,832153.7000000002,816421.3000000007
PO ON HONG ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,CENTRAL AND WESTERN,22.28634324,114.13851568,832314.4000000004,816383.5999999996
CALM RESIDENCE,Location of Residential Care Homes for the Elderly in Hong Kong,TUEN MUN,22.38720351,113.97574315,815555.5663999999,827566.0950000007
SHA TAU KOK HOME CARE CENTER,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.54547997,114.22308166,841020.7999999998,845080.0
GRACEFUL GARDEN,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50484684,114.15667943,834190.0840999996,840579.7935000006
KA FUK JUBILANT CARE,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.49312727,114.13531931,831991.9223999996,839282.4540999997
LOYAL LUCK HOME FOR AGED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44747558,114.16910846,835468.6129000001,834226.5626999997
FRIENDLY (TAI PO) HOME FOR THE AGED LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44823042,114.16667763,835218.4009999996,834310.1656999998
LOK SIN TONG CHU TING CHEONG HOME FOR THE AGED [RCHE] / LOK SIN TONG CHU TING CHEONG HOME FOR THE AGED [CCSV RSP],Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.4461,114.16782,835336.0,834074.1999999993
SENIOR CARE AMITY,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50506489,114.09682977,828031.0,840605.4000000004
PINE CARE JADE MAISON,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50506489,114.09682977,828031.0,840605.4000000004
HING NAM CARE HOME (VENICE 2),Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.49771745,114.12753429,831190.5999999996,839790.0999999996
WEALTHY JADE CARE HOME (FANLING) LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.49306,114.13533,831993.0,839275.0
FU WAH ELDERLY HOME LIMITED [RCHE] / FU WAH ELDERLY HOME LIMITED [CCSV RSP],Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.4472447,114.16843219,835398.7999999998,834200.4000000004
WEALTHY HOME FOR AGED - JOCKEY CLUB ROAD BRANCH,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.5043014,114.13020463,831465.5,840519.8000000007
SHUN KING HOME FOR THE AGED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.45398121,114.16508972,835054.0,834946.8000000007
WEALTHY JADE CARE HOME (SHEUNG SHUI) LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50431867,114.12757082,831194.9000000004,840521.0
VANGUARD (SS) ELDERLY HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50378568,114.12691985,831127.0,840462.3000000007
SINO KWU TUNG NURSING HOME CUM DAY CARE CENTRE,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50506489,114.09682977,828031.0,840605.4000000004
JOYFUL GARDEN,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50506489,114.09682977,828031.0,840605.4000000004
JOYOUS GARDEN,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50506489,114.09682977,828031.0,840605.4000000004
HING NAM CARE HOME (VENICE),Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.49771745,114.12753429,831190.5999999996,839790.0999999996
TIN PING ELDERLY CENTRE LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50331804,114.13364539,831819.4000000004,840410.0999999996
THE PEACEFUL ELDERLY HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.4911912,114.13744886,832210.0999999996,839067.8000000007
LUXE GARDEN,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.48273905,114.13873394,832342.5999999996,838131.0
COMFORT ELDERLY HOME (HO SHEUNG HEUNG BRANCH),Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.51350482,114.10894508,829278.5,841539.4000000004
LITTLE SISTERS OF THE POOR ST. JOSEPH'S HOME FOR THE AGED,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.49539595,114.1253388,830964.0999999996,839533.3000000007
RAY OF SUN ELDERLY HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44948395,114.16380772,834922.2000000002,834448.5
FUNG KAI CARE AND ATTENTION HOME FOR THE ELDERLY - HOME SECTION,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50773298,114.13034926,831480.0,840899.5999999996
OI KWAN CARE FOR THE AGED HOME (BRANCH 1) [RCHE] / OI KWAN CARE FOR THE AGED CUM DAY CARE CENTRE FOR THE ELDERLY (BRANCH 1) [CCSV RSP],Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.45380962,114.1650023,835045.7999999998,834926.9000000004
YAN CHAI HOSPITAL TAI PO FU TIP ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.46143169,114.17258971,835826.0,835771.8000000007
ASHINE ELDERLY CARE,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50506489,114.09682977,828031.0,840605.4000000004
COMFORT HOME FOR THE ELDERLY,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50506489,114.09682977,828031.0,840605.4000000004
GRANYET WAH MING HOME FOR THE AGED,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.4841212,114.14090054,832565.9000000004,838284.8000000007
HING NAM CARE HOME (VENICE 1),Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.49768139,114.1277481,831212.2000000002,839786.8000000007
日悠居 (Chinese name only),Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44821069,114.1642353,834966.5,834307.9000000004
CHERISH HOME,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.50567298,114.12675395,831110.5999999996,840671.5999999996
PEACEFUL ELDERLY CENTRE LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44896936,114.16578962,835126.0,834390.9000000004
YANG HAO CARE AND ATTENTION HOME,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44909576,114.16549816,835096.2000000002,834405.3000000007
PAK LOK ELDERLY CARE CENTRE LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,WONG TAI SIN,22.33535568,114.19626909,838265.0999999996,821810.3000000007
FANLING ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,NORTH,22.49901295,114.14382195,832866.7999999998,839933.5999999996
HOPKINS (TAI PO) ELDERLY HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44773213,114.16505139,835050.9000000004,834254.6999999993
CONRAD CARE HOME (TAI PO) LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.45398121,114.16508972,835054.0,834946.8000000007
KWONG FUK ELDERLY CARE CENTRE LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44918606,114.16530386,835076.5999999996,834415.3000000007
FUKA HOME FOR THE AGED LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44726281,114.16933567,835491.4000000004,834202.6999999993
HO SHIN HOME FOR THE ELDERLY (SPONSORED BY SIK SIK YUEN),Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.45480341,114.17695212,836275.7999999998,835037.5999999996
OI KWAN CARE FOR THE AGED HOME LIMITED [RCHE] / OI KWAN CARE FOR THE AGED CUM DAY CARE CENTRE FOR THE ELDERLY [CCSV RSP],Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.45380962,114.1650023,835045.7999999998,834926.9000000004
PINE VILLA,Location of Residential Care Homes for the Elderly in Hong Kong,SAI KUNG,22.29694883,114.27212318,846082.7000000002,817560.0
CONRAD CARE HOME (SAN PO KONG) LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,WONG TAI SIN,22.33631308,114.19492964,838127.0,821916.5999999996
PARC VILLA ELDERLY HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.45508314,114.16851916,835407.0999999996,835068.5999999996
HONG NGA RESIDENTIAL CARE HOME (7),Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27788606,114.17715573,836296.4000000004,815446.3000000007
HARMONY SENIOR CARE,Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44726281,114.16933567,835491.4000000004,834202.6999999993
CARE & SERVICES ELDERLY HOME (TAI PO),Location of Residential Care Homes for the Elderly in Hong Kong,TAI PO,22.44749759,114.16914136,835471.9000000004,834228.0999999996
CHUN FUNG WONG ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,WONG TAI SIN,22.3435192,114.19722157,838363.7999999998,822713.9000000004
SHUI HONG NURSING HOME,Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27698285,114.170024,835561.5999999996,815346.6999999993
Haven of Hope Ho Chung Elderly Home cum Day Care Centre for the Elderly,Location of Residential Care Homes for the Elderly in Hong Kong,SAI KUNG,22.35322151,114.25100559,843903.8541000001,823791.1243999992
FUNG TAK HOME,Location of Residential Care Homes for the Elderly in Hong Kong,WONG TAI SIN,22.34397482,114.20003574,838653.8843,822765.4947999995
KAI YAN INSTITUTION OF OLD AGE LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TUEN MUN,22.41605,113.98225,816229.7999999998,830759.5
