Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
Tuen Mun Social Hygiene Clinic (Male),Clinics / Health Centres under the Department of Health,TUEN MUN,22.39083718,113.9789662,815888.0,827968.0
Tuen Mun Social Hygiene Clinic (Female),Clinics / Health Centres under the Department of Health,TUEN MUN,22.39083718,113.9789662,815888.0,827968.0
Fanling Integrated Treatment Centre (Social Hygiene Service),Clinics / Health Centres under the Department of Health,NORTH,22.49654684,114.1387885,832349.0,839661.0
Cheung Sha Wan Dermatological Clinic,Clinics / Health Centres under the Department of Health,SHAM SHUI PO,22.33173503,114.160266,834557.0,821410.0
Chai Wan Social Hygiene Clinic (Female),Clinics / Health Centres under the Department of Health,EASTERN,22.26906114,114.2374179,842508.0,814471.0
Western Special Assessment Centre,Clinics / Health Centres under the Department of Health,CENTRAL AND WESTERN,22.28733976,114.153595,833869.0,816494.0
Radiation Health Unit,Clinics / Health Centres under the Department of Health,SAI WAN HO,22.28458931,114.2238202,841106.0,816190.0
Western Student Health Service Centre,Clinics / Health Centres under the Department of Health,CENTRAL AND WESTERN,22.28733976,114.153595,833869.0,816494.0
Lam Tin School Dental Clinic,Clinics / Health Centres under the Department of Health,LAM TIN,22.31056736,114.2333304,842086.9000000004,819073.5
Tai Po Elderly Health Centre,Clinics / Health Centres under the Department of Health,TAI PO,22.45016181,114.1680823,835368.7999999998,834529.1999999993
Lam Tin Student Health Service Centre,Clinics / Health Centres under the Department of Health,LAM TIN,22.31056736,114.2333304,842085.0,819067.0
Lam Tin Special Assessment Centre,Clinics / Health Centres under the Department of Health,LAM TIN,22.31056736,114.2333304,842085.0,819067.0
Travel Health Centre (Hong Kong),Clinics / Health Centres under the Department of Health,WAN CHAI,22.27441853,114.1727409,835842.0,815063.0
Travel Health Centre (Kowloon),Clinics / Health Centres under the Department of Health,SHAM SHUI PO,22.33173503,114.160266,834557.0,821410.0
Sai Ying Pun Elderly Health Centre,Clinics / Health Centres under the Department of Health,CENTRAL AND WESTERN,22.28643525,114.1450365,833018.0999999996,816382.3000000007
Red Ribbon Centre,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.33911364,114.185378,837134.2999999998,822228.3000000007
Tuen Mun Student Health Service Centre,Clinics / Health Centres under the Department of Health,TUEN MUN,22.39965593,113.97571,815554.0,828945.0
Sai Kung Mona Fong Dental Clinic,Clinics / Health Centres under the Department of Health,SAI KUNG,22.38165579,114.2721516,846080.0,826945.0
Yan Oi Dental Clinic,Clinics / Health Centres under the Department of Health,TUEN MUN,22.3912257,113.9791404,815917.9000000004,828011.0999999996
