Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
Chan Au Yeung Lai Sim Memorial Day Care Centre for the Elderly,Day Care Centres for the Elderly,YUEN LONG,22.4511637,114.00417699,818491.8232000005,834645.1789999995
Fung Kai Care & Attention Home for the Elderly-Day Care Centre for the Elderly,Day Care Centres for the Elderly,NORTH,22.50771031,114.13035548,831481.6392999999,840897.4890999999
Mr and Mrs Au Wai Lam Memorial Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHA TIN,22.37686283,114.19584889,838222.1310999999,826407.2958000004
Chau Lin Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHA TIN,22.37047863,114.18740588,837352.6599000003,825700.2533
Wan Shing Memorial Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHA TIN,22.37891745,114.19586076,838223.3255000003,826634.8154000007
Sha Tin Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHA TIN,22.38548064,114.19340877,837970.7249999996,827361.5643000007
Chan Feng Men Ling Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHAM SHUI PO,22.3405489,114.16378874,834920.0,822386.0
Sham Shui Po Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHAM SHUI PO,22.33525633,114.15726609,834248.0,821800.0
LI Ka Shing Day Care Centre for the Elderly,Day Care Centres for the Elderly,SHAM SHUI PO,22.33895075,114.16758445,835311.0,822209.0
Caritas Day Care Centre for the Elderly – West Kowloon,Day Care Centres for the Elderly,SHAM SHUI PO,22.33504972,114.17154519,835719.0,821777.0
Yam Pak Charitable Foundation Day Care Centre for the Elderly,Day Care Centres for the Elderly,EASTERN,22.27898732,114.22259991,840980.4330000002,815569.6618000008
Siu Sai Wan Day Care Centre for the Elderly,Day Care Centres for the Elderly,EASTERN,22.265178,114.24812879,843612.1359999999,814041.5184000004
Fong Shu Chuen Day Care Centre for the Elderly,Day Care Centres for the Elderly,EASTERN,22.27844604,114.22921111,841661.7973999996,815509.9452999998
Evergreen Day Care Centre for the Elderly,Day Care Centres for the Elderly,EASTERN,22.264019,114.23327876,842081.6039000005,813912.5308999997
EverDelight Day Care Centre for the Elderly (Eastern & Wan Chai),Day Care Centres for the Elderly,WAN CHAI,22.27356321,114.17371855,835942.7550999997,814968.3172999993
1982 Board of Directors Day Care Centre for the Elderly,Day Care Centres for the Elderly,SOUTHERN,22.25169125,114.17536577,836112.4989999998,812546.3467999995
Kwun Tong Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.30919375,114.23520298,842278.0,818915.0
Lok Wah Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.32201277,114.22060056,840773.0,820334.0
True Light Villa Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.32493698,114.22649322,841380.0,820658.0
Lei Yue Mun Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.29204594,114.23875463,842644.7297999999,817016.2921999991
Chin Wah Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.32106504,114.21875611,840583.0,820229.0
Choi Ying Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.32875089,114.21546786,840244.0,821080.0
Yau Lai Day Care Centre for the Elderly,Day Care Centres for the Elderly,KWUN TONG,22.3005245,114.2348306,842240.0,817955.0
Chi Lin Day Care Centre for the Elderly,Day Care Centres for the Elderly,WONG TAI SIN,22.34041196,114.20582914,839250.7466000002,822371.0644000005
Wang Tau Hom Day Care Centre for the Elderly,Day Care Centres for the Elderly,WONG TAI SIN,22.34087518,114.18884709,837501.3539000005,822422.1218999997
Tsz Wan Shan Day Care Centre for the Elderly,Day Care Centres for the Elderly,WONG TAI SIN,22.3470136,114.19999853,838649.9994000001,823101.9934
Choi Hung Community Centre for Senior Citizens – Day Care Service,Day Care Centres for the Elderly,WONG TAI SIN,22.33635461,114.20627585,839296.8509999998,821921.7829999998
Tsui Lam Day Care Centre for the Elderly,Day Care Centres for the Elderly,SAI KUNG,22.32456012,114.24874724,843672.7481000004,820617.1929000001
Tsui Lam Day Care Centre for the Elderly,Day Care Centres for the Elderly,SAI KUNG,22.32447386,114.24869503,843667.3737000003,820607.6381999999
Yee Ming Day Care Centre for the Elderly,Day Care Centres for the Elderly,SAI KUNG,22.30660056,114.2632964,845172.8247999996,818629.2329999991
Chow Hung Piu Day Care Centre for the Elderly,Day Care Centres for the Elderly,YAU TSIM MONG,22.31766494,114.15888942,834415.0,819852.0
Wong Cho Tong Day Care Centre for the Elderly,Day Care Centres for the Elderly,KOWLOON CITY,22.32010411,114.18188266,836784.0,820122.0
Martha Boss Lutheran Day Care Centre for the Elderly,Day Care Centres for the Elderly,KOWLOON CITY,22.31618489,114.17929109,836517.0,819688.0
